No,Tanggal,Jenis Trans,IN/OUT,Product Code/Model,Jenis Barang,Nama Barang,Serial Number,Gudang/Rak,Jumlah,Keterangan,,,Jenis Trans,IN/OUT,ket,,,,,,,
296,1-Jan-25,SALDO,IN,GLC-LH-SMD,SFP,CISCO SFP Modules,FNS253303NT,Rak B,1,Sisa/Spare Unit SMP - Ademco,SFPCISCO SFP Modules,,,,,Patch Cord SC-SC 3M Total,,,16,,,16
297,1-Jan-25,SALDO,IN,GLC-LH-SMD,SFP,CISCO SFP Modules,FNS195220423,Rak B,1,Sisa/Spare Unit SMP - Ademco,SFPCISCO SFP Modules,,,,Patch Cord Total,,,,365,9,,374
298,1-Jan-25,SALDO,IN,GLC-LH-SMD,SFP,CISCO SFP Modules,FNS19200M45,Rak B,1,Sisa/Spare Unit SMP - Ademco,SFPCISCO SFP Modules,,,,PC,DELL PC i3,Rak B,,1,,,1
299,1-Jan-25,SALDO,IN,GLC-LH-SMD,SFP,CISCO SFP Modules,FNS19200M61,Rak B,1,Sisa/Spare Unit SMP - Ademco,SFPCISCO SFP Modules,,,,,DELL PC i3 Total,,,1,,,1
300,1-Jan-25,SALDO,IN,GLC-LH-SMD,SFP,CISCO SFP Modules,FNS19200M65,Rak B,1,Sisa/Spare Unit SMP - Ademco,SFPCISCO SFP Modules,,,,,HP 280 Pro G6 Micro Tower PC,Rak C,,1,,,1
301,1-Jan-25,SALDO,IN,GLC-LH-SMD,SFP,CISCO SFP Modules,FNS19200M53,Rak B,1,Sisa/Spare Unit SMP - Ademco,SFPCISCO SFP Modules,,,,,HP 280 Pro G6 Micro Tower PC Total,,,1,,,1
302,1-Jan-25,SALDO,IN,GLC-LH-SMD,SFP,CISCO SFP Modules,ACW24201U2R,Lemari,1,,SFPCISCO SFP Modules,,,,PC Total,,,,2,,,2
303,1-Jan-25,SALDO,IN,GLC-LH-SMD,SFP,CISCO SFP Modules,ACW24201STN,Lemari,1,,SFPCISCO SFP Modules,,,,PDU,ABBA Rack Power Distribution Unit,Rak D,,1,,,1
304,1-Jan-25,SALDO,IN,GLC-LH-SMD,SFP,CISCO SFP Modules,ACW24200FAP,Lemari,1,,SFPCISCO SFP Modules,,,,,ABBA Rack Power Distribution Unit Total,,,1,,,1
305,1-Jan-25,SALDO,IN,GLC-LH-SMD,SFP,CISCO SFP Modules,ACW24200FAT,Lemari,1,,SFPCISCO SFP Modules,,,,PDU Total,,,,1,,,1
306,1-Jan-25,SALDO,IN,GLC-LH-SMD,SFP,CISCO SFP Modules,ACW241609R7,Lemari,1,,SFPCISCO SFP Modules,,,,Phone,PANASONIC Digital Proprietary Telephone,Rak D,,1,,,1
307,1-Jan-25,SALDO,IN,GLC-LH-SMD,SFP,CISCO SFP Modules,ACW24201STJ,Lemari,1,,SFPCISCO SFP Modules,,,,,PANASONIC Digital Proprietary Telephone Total,,,1,,,1
308,1-Jan-25,SALDO,IN,GLC-LH-SMD,SFP,CISCO SFP Modules,ACW24201SUK,Lemari,1,,SFPCISCO SFP Modules,,,,,PANASONIC Integrated Telephone System,Lemari Kaca,,1,,,1
309,1-Jan-25,SALDO,IN,GLC-LH-SMD,SFP,CISCO SFP Modules,ACW24201TDB,Lemari,1,,SFPCISCO SFP Modules,,,,,,Rak D,,2,,,2
310,1-Jan-25,SALDO,IN,GLC-LH-SMD,SFP,CISCO SFP Modules,ACW24392968,Lemari,1,,SFPCISCO SFP Modules,,,,,PANASONIC Integrated Telephone System Total,,,3,,,3
311,1-Jan-25,SALDO,IN,GLC-LH-SMD,SFP,CISCO SFP Modules,ACW24201U2Q,Lemari,1,,SFPCISCO SFP Modules,,,,Phone Total,,,,4,,,4
312,1-Jan-25,SALDO,IN,GLC-LH-SMD,SFP,CISCO SFP Modules,ACW24160Z5U,Lemari,1,,SFPCISCO SFP Modules,,,,PoE Injector,CISCO Poe Injector,Lemari,,2,1,,3
313,1-Jan-25,SALDO,IN,GLC-LH-SMD,SFP,CISCO SFP Modules,ACW24201TDE,Lemari,1,,SFPCISCO SFP Modules,,,,,CISCO Poe Injector Total,,,2,1,,3
314,1-Jan-25,SALDO,IN,GLC-LH-SMD,SFP,CISCO SFP Modules,ACW24201STT,Lemari,1,,SFPCISCO SFP Modules,,,,,PHIHONG PoE Injector,Lemari,,3,,,3
315,1-Jan-25,SALDO,IN,GLC-LH-SMD,SFP,CISCO SFP Modules,ACW24201U2K,Lemari,1,,SFPCISCO SFP Modules,,,,,PHIHONG PoE Injector Total,,,3,,,3
316,1-Jan-25,SALDO,IN,GLC-LH-SMD,SFP,CISCO SFP Modules,ACW24201T5G,Lemari,1,,SFPCISCO SFP Modules,,,,,TENDA PoE Injector,Lemari Kaca,,2,,,2
317,1-Jan-25,SALDO,IN,GLC-LH-SMD,SFP,CISCO SFP Modules,ACW24201SU8,Lemari,1,,SFPCISCO SFP Modules,,,,,,Rak A,,12,6,,18
318,1-Jan-25,SALDO,IN,GLC-LH-SMD,SFP,CISCO SFP Modules,ACW24201U2S,Lemari,1,,SFPCISCO SFP Modules,,,,,TENDA PoE Injector Total,,,14,6,,20
319,1-Jan-25,SALDO,IN,A-00021,Speaker,LOGITECH Stereo Headset H111,,Rak A,1,,SpeakerLOGITECH Stereo Headset H111,,,,,TP-LINK Gigabit PoE Injector,Rak A,,1,,,1
320,1-Jan-25,SALDO,IN,A-00021,Speaker,LOGITECH Stereo Headset H111,,Lemari,1,,SpeakerLOGITECH Stereo Headset H111,,,,,,Rak B,,6,6,,12
321,1-Jan-25,SALDO,IN,,Speaker,MIFA K3 Soundbar,,Rak A,2,,SpeakerMIFA K3 Soundbar,,,,,TP-LINK Gigabit PoE Injector Total,,,7,6,,13
322,1-Jan-25,SALDO,IN,MZ-77E500,SSD,SAMSUNG SSD 870 EVO 500GB,S6P6NF0R509699A,Lemari,1,,SSDSAMSUNG SSD 870 EVO 500GB,,,,PoE Injector Total,,,,26,13,,39
323,1-Jan-25,SALDO,IN,,SSD,KINGSTON SSD,,Lemari,2,Ex.,SSDKINGSTON SSD,,,,PoE Switch,HIKVISION 4 Port Gigabit Smart POE Switch,Lemari Kaca,,1,1,,2
324,1-Jan-25,SALDO,IN,,Stationary,3M Tape,,Lemari,1,,Stationary3M Tape,,,,,,Rak A,,8,6,,14
325,1-Jan-25,SALDO,IN,,Stationary,ALKALINE Battery AA,,Lemari,9,,StationaryALKALINE Battery AA,,,,,HIKVISION 4 Port Gigabit Smart POE Switch Total,,,9,7,,16
326,1-Jan-25,SALDO,IN,,Stationary,ALKALINE Battery AAA,,Lemari,10,,StationaryALKALINE Battery AAA,,,,,HIKVISION 4 Port Gigabit Unmangaed POE Switch,Lemari Kaca,,1,,,1
327,1-Jan-25,SALDO,IN,,Stationary,ENERGIZER Battery AA,,Lemari,6,Stationary IT Feb'24,StationaryENERGIZER Battery AA,,,,,HIKVISION 4 Port Gigabit Unmangaed POE Switch Total,,,1,,,1
328,1-Jan-25,SALDO,IN,TP-22,Stationary,Facial Tissue,,Lemari,6,,StationaryFacial Tissue,,,,,HIKVISION 8 Port Gigabit Smart POE Switch,Lemari Kaca,,5,3,,8
329,1-Jan-25,SALDO,IN,,Stationary,GP Battery A23,,Lemari,4,,StationaryGP Battery A23,,,,,,Rak A,,3,3,,6
330,1-Jan-25,SALDO,IN,,Stationary,Joyko Pen Gel GP-265Q Black,,Lemari,38,,StationaryJoyko Pen Gel GP-265Q Black,,,,,HIKVISION 8 Port Gigabit Smart POE Switch Total,,,8,6,,14
331,1-Jan-25,SALDO,IN,,Stationary,Masking Tape 2 in,,Lemari,1,Stationary IT Feb'24,StationaryMasking Tape 2 in,,,,PoE Switch Total,,,,18,13,,31
332,1-Jan-25,SALDO,IN,,Stationary,NACHI Double Tape 12mm - 10yard,,Lemari,3,Stationary IT Jul'24,StationaryNACHI Double Tape 12mm - 10yard,,,,Power Supply,12v Adaptor,Rak B,,36,,,36
333,1-Jan-25,SALDO,IN,,Stationary,Permanent Marker Black,,Lemari,5,,StationaryPermanent Marker Black,,,,,12v Adaptor Total,,,36,,,36
334,1-Jan-25,SALDO,IN,,Stationary,Permanent Marker Blue,,Lemari,1,,StationaryPermanent Marker Blue,,,,,24v 5A Adaptor,Rak B,,5,,,5
335,1-Jan-25,SALDO,IN,,Stationary,Sticky Note 51 X 38 mm,,Lemari,4,,StationarySticky Note 51 X 38 mm,,,,,24v 5A Adaptor Total,,,5,,,5
336,1-Jan-25,SALDO,IN,,Stationary,Sticky Note 76 X 51 mm,,Lemari,1,,StationarySticky Note 76 X 51 mm,,,,,CORSAIR ATX Power Supply 450W,Lemari Kaca,,4,3,,7
337,1-Jan-25,SALDO,IN,,Stationary,Sticky Note 76 X 76 mm,,Lemari,4,,StationarySticky Note 76 X 76 mm,,,,,CORSAIR ATX Power Supply 450W Total,,,4,3,,7
338,1-Jan-25,SALDO,IN,,Stationary,Transparent Tape 2 in,,Lemari,3,,StationaryTransparent Tape 2 in,,,,,ENLIGHT Sniper Power 450W Power Supply,Lemari Kaca,,1,1,,2
339,1-Jan-25,SALDO,IN,,Stationary,Transparent Tape 1 in,,Lemari,2,,StationaryTransparent Tape 1 in,,,,,ENLIGHT Sniper Power 450W Power Supply Total,,,1,1,,2
340,1-Jan-25,SALDO,IN,,Stationary,ZEBRA Pen 4C,,Lemari,2,,StationaryZEBRA Pen 4C,,,,Power Supply Total,,,,46,4,,50
341,1-Jan-25,SALDO,IN,,Stop Kontak,APC ProtectNet Surge,,Rak B,40,Sisa/Spare Unit SMP - Ademco,Stop KontakAPC ProtectNet Surge,,,,Printer,Printer EPSON LQ-310,Rak C,,3,2,,5
342,1-Jan-25,SALDO,IN,,Stop Kontak,BROCO Kepala Stop Kontak (Steker),,Rak A,27,,Stop KontakBROCO Kepala Stop Kontak (Steker),,,,,Printer EPSON LQ-310 Total,,,3,2,,5
343,1-Jan-25,SALDO,IN,SPN3042,Stop Kontak,PHILIPS 4 Ways Power Extension With USB Charging,,Lemari Kaca,1,,Stop KontakPHILIPS 4 Ways Power Extension With USB Charging,,,,Printer Total,,,,3,2,,5
344,1-Jan-25,SALDO,IN,,Stop Kontak,Stop Kontak Krista Masko,,Rak A,50,,Stop KontakStop Kontak Krista Masko,,,,Printer Cartridge,HP Toner Cartridge 107A Black,Lemari Kaca,,2,1,,3
345,1-Jan-25,SALDO,IN,,Stop Kontak,UTICON Multi Outlet 5M - 6 Socket,,Lemari Kaca,1,,Stop KontakUTICON Multi Outlet 5M - 6 Socket,,,,,,Rak F,,1,,,1
346,1-Jan-25,SALDO,IN,C9200L-24P-4G-E,Switch,CISCO Catalyst 9200 Series Switches,JAE26292RS1,Rak D,1,,SwitchCISCO Catalyst 9200 Series Switches,,,,,HP Toner Cartridge 107A Black Total,,,3,1,,4
347,1-Jan-25,SALDO,IN,C9200L-24P-4G-E,Switch,CISCO Catalyst 9200 Series Switches,JAE26292PZV,Rak D,1,,SwitchCISCO Catalyst 9200 Series Switches,,,,,HP Toner Cartridge 119A Black,Lemari Kaca,,3,2,,5
348,1-Jan-25,SALDO,IN,C9200L-24P-4G-E,Switch,CISCO Catalyst 9200 Series Switches,JAE26292PHS,Rak D,1,,SwitchCISCO Catalyst 9200 Series Switches,,,,,,Rak F,,1,,,1
349,1-Jan-25,SALDO,IN,C9200L-24P-4G-E,Switch,CISCO Catalyst 9200 Series Switches,JAE26292QTI,Rak D,1,,SwitchCISCO Catalyst 9200 Series Switches,,,,,HP Toner Cartridge 119A Black Total,,,4,2,,6
350,1-Jan-25,SALDO,IN,C1000-8P-2G-L,Switch,CISCO Catalyst 1000 Series Switches,PVN28341AT4,Rak B,1,,SwitchCISCO Catalyst 1000 Series Switches,,,,,HP Toner Cartridge 119A Cyan,Lemari Kaca,,1,,,1
351,1-Jan-25,SALDO,IN,TL-SG1024D,Switch,TP-LINK 24-Port Gigabit Desktop/Rackmount Switch,22031H0003966,Lemari,1,,SwitchTP-LINK 24-Port Gigabit Desktop/Rackmount Switch,,,,,HP Toner Cartridge 119A Cyan Total,,,1,,,1
352,1-Jan-25,SALDO,IN,76C87PA#AR6,TC,HP Elite t655 Thin Client,8CG3440LQS,Rak C,1,,TCHP Elite t655 Thin Client,,,,,HP Toner Cartridge 119A Magenta,Lemari Kaca,,1,,,1
353,1-Jan-25,SALDO,IN,DS-TMG034,Trigger Radar,HIKVISION Capture-trigger Radar (Anti Fault),30076538009,Rak B,1,Sisa/Spare Unit SMP - Ademco,Trigger RadarHIKVISION Capture-trigger Radar (Anti Fault),,,,,HP Toner Cartridge 119A Magenta Total,,,1,,,1
354,1-Jan-25,SALDO,IN,DS-TMG034,Trigger Radar,HIKVISION Capture-trigger Radar (Anti Fault),30081713927,Rak B,1,Ex. Serviced,Trigger RadarHIKVISION Capture-trigger Radar (Anti Fault),,,,,HP Toner Cartridge 119A Yellow,Lemari Kaca,,2,,,2
355,1-Jan-25,SALDO,IN,T-ECO196,Tripod,TAKARA Lightweight tripod for DSLR camera or smartphone (TAKARA ECO-196A),,Lemari,1,"ELTO2428, PO: 4500369726",TripodTAKARA Lightweight tripod for DSLR camera or smartphone (TAKARA ECO-196A),,,,,,Rak F,,9,1,,10
356,1-Jan-25,SALDO,IN,SURT1000XLI,UPS,APC Smart UPS 1KVA 230V,AS1931290788,Lantai,1,,UPSAPC Smart UPS 1KVA 230V,,,,,HP Toner Cartridge 119A Yellow Total,,,11,1,,12
357,1-Jan-25,SALDO,IN,BVX700LUI-MS,UPS,APC UPS,9B224411046,Rak A,1,,UPSAPC UPS,,,,,HP Toner Cartridge 17A Black,Lemari Kaca,,1,,,1
358,1-Jan-25,SALDO,IN,CT 382 B,UPS,ICA UPS,1216W1600336,Rak A,1,Bekas,UPSICA UPS,,,,,,Rak F,,12,,,12
359,1-Jan-25,SALDO,IN,CT 382 B,UPS,ICA UPS,1216W1600333,Rak A,1,Bekas,UPSICA UPS,,,,,HP Toner Cartridge 17A Black Total,,,13,,,13
360,1-Jan-25,SALDO,IN,TL-WN725N,USB Adapter,TP-LINK 150Mbps Wireless N Nano USB Adapter,22294C4004382,Lemari,1,,USB AdapterTP-LINK 150Mbps Wireless N Nano USB Adapter,,,,,HP Toner Cartridge 201A Black,Lemari Kaca,,5,4,,9
361,1-Jan-25,SALDO,IN,,VGA Extender,VGA Signal Extender 60M,,Lemari Kaca,1,2303077,VGA ExtenderVGA Signal Extender 60M,,,,,,Rak F,,3,3,,6
362,1-Jan-25,SALDO,IN,TTC5-14,Video Conference,CISCO Table Microphone,GET2603008V,Lemari,1,,Video ConferenceCISCO Table Microphone,,,,,HP Toner Cartridge 201A Black Total,,,8,7,,15
363,1-Jan-25,SALDO,IN,TTC5-14,Video Conference,CISCO Table Microphone,GET2603003T,Lemari,1,,Video ConferenceCISCO Table Microphone,,,,,HP Toner Cartridge 201A Cyan,Lemari Kaca,,3,2,,5
364,1-Jan-25,SALDO,IN,TTC5-06,Video Conference,CISCO Telepresence Table Microphone 20,GET1949002H,Lemari,1,,Video ConferenceCISCO Telepresence Table Microphone 20,,,,,,Rak F,,2,1,,3
365,1-Jan-25,SALDO,IN,TTC5-06,Video Conference,CISCO Telepresence Table Microphone 20,GET20190063,Lemari,1,,Video ConferenceCISCO Telepresence Table Microphone 20,,,,,HP Toner Cartridge 201A Cyan Total,,,5,3,,8
366,1-Jan-25,SALDO,IN,860-156-200 L,Video Conference,CLEAR ONE Group Speaker,0623-1201-08,Rak A,1,Bekas,Video ConferenceCLEAR ONE Group Speaker,,,,,HP Toner Cartridge 201A Magenta,Lemari Kaca,,3,2,,5
367,1-Jan-25,SALDO,IN,V-U0037,Video Conference,LOGITECH Expansion Microphone,2044LZ56SMT8,Lemari,1,,Video ConferenceLOGITECH Expansion Microphone,,,,,,Rak F,,2,1,,3
368,1-Jan-25,SALDO,IN,V-U0037,Video Conference,LOGITECH Expansion Microphone,2044LZ56SFW8,Lemari,1,,Video ConferenceLOGITECH Expansion Microphone,,,,,HP Toner Cartridge 201A Magenta Total,,,5,3,,8
369,1-Jan-25,SALDO,IN,V-U0037,Video Conference,LOGITECH Expansion Microphone,2044LZ56SGI8,Lemari,1,,Video ConferenceLOGITECH Expansion Microphone,,,,,HP Toner Cartridge 201A Yellow,Lemari Kaca,,3,2,,5
370,1-Jan-25,SALDO,IN,V-U0037,Video Conference,LOGITECH Expansion Microphone,,Lemari,1,"ELTO2428, PO: 4500369726",Video ConferenceLOGITECH Expansion Microphone,,,,,,Rak F,,4,2,,6
371,1-Jan-25,SALDO,IN,V-U0037,Video Conference,LOGITECH Expansion Microphone,,Lemari,1,"ELTO2428, PO: 4500369726",Video ConferenceLOGITECH Expansion Microphone,,,,,HP Toner Cartridge 201A Yellow Total,,,7,4,,11
372,1-Jan-25,SALDO,IN,V-U0032/V-U0033/V-U0036,Video Conference,LOGITECH Group,2031LZ56BCM8,Rak D,1,,Video ConferenceLOGITECH Group,,,,,HP Toner Cartridge 206A Black,Lemari Kaca,,1,,,1
373,1-Jan-25,SALDO,IN,W2090A,Printer Cartridge,HP Toner Cartridge 119A Black,,Lemari Kaca,1,,Printer CartridgeHP Toner Cartridge 119A Black,,,,,,Rak F,,3,,,3
374,1-Jan-25,SALDO,IN,W2091A,Printer Cartridge,HP Toner Cartridge 119A Cyan,,Lemari Kaca,1,,Printer CartridgeHP Toner Cartridge 119A Cyan,,,,,HP Toner Cartridge 206A Black Total,,,4,,,4
375,1-Jan-25,SALDO,IN,W2093A,Printer Cartridge,HP Toner Cartridge 119A Magenta,,Lemari Kaca,1,,Printer CartridgeHP Toner Cartridge 119A Magenta,,,,,HP Toner Cartridge 206A Cyan,Lemari Kaca,,1,,,1
376,1-Jan-25,SALDO,IN,W2092A,Printer Cartridge,HP Toner Cartridge 119A Yellow,,Lemari Kaca,1,,Printer CartridgeHP Toner Cartridge 119A Yellow,,,,,,Rak F,,1,,,1
377,1-Jan-25,SALDO,IN,W2090A,Printer Cartridge,HP Toner Cartridge 119A Black,,Rak F,1,,Printer CartridgeHP Toner Cartridge 119A Black,,,,,HP Toner Cartridge 206A Cyan Total,,,2,,,2
378,1-Jan-25,SALDO,IN,W2092A,Printer Cartridge,HP Toner Cartridge 119A Yellow,,Rak F,9,,Printer CartridgeHP Toner Cartridge 119A Yellow,,,,,HP Toner Cartridge 206A Magenta,Lemari Kaca,,1,,,1
379,1-Jan-25,SALDO,IN,CF217A,Printer Cartridge,HP Toner Cartridge 17A Black,,Lemari Kaca,1,,Printer CartridgeHP Toner Cartridge 17A Black,,,,,,Rak F,,2,,,2
380,1-Jan-25,SALDO,IN,CF217A,Printer Cartridge,HP Toner Cartridge 17A Black,,Rak F,12,,Printer CartridgeHP Toner Cartridge 17A Black,,,,,HP Toner Cartridge 206A Magenta Total,,,3,,,3
381,1-Jan-25,SALDO,IN,CF400A,Printer Cartridge,HP Toner Cartridge 201A Black,,Lemari Kaca,1,,Printer CartridgeHP Toner Cartridge 201A Black,,,,,HP Toner Cartridge 206A Yellow,Lemari Kaca,,1,,,1
382,1-Jan-25,SALDO,IN,CF401A,Printer Cartridge,HP Toner Cartridge 201A Cyan,,Lemari Kaca,1,,Printer CartridgeHP Toner Cartridge 201A Cyan,,,,,,Rak F,,1,,,1
383,1-Jan-25,SALDO,IN,CF403A,Printer Cartridge,HP Toner Cartridge 201A Magenta,,Lemari Kaca,1,,Printer CartridgeHP Toner Cartridge 201A Magenta,,,,,HP Toner Cartridge 206A Yellow Total,,,2,,,2
384,1-Jan-25,SALDO,IN,CF402A,Printer Cartridge,HP Toner Cartridge 201A Yellow,,Lemari Kaca,1,,Printer CartridgeHP Toner Cartridge 201A Yellow,,,,,HP Toner Cartridge 215A Black,Lemari Kaca,,5,4,,9
385,1-Jan-25,SALDO,IN,CF401A,Printer Cartridge,HP Toner Cartridge 201A Cyan,,Rak F,1,,Printer CartridgeHP Toner Cartridge 201A Cyan,,,,,,Rak F,,11,4,,15
386,1-Jan-25,SALDO,IN,CF402A,Printer Cartridge,HP Toner Cartridge 201A Yellow,,Rak F,1,,Printer CartridgeHP Toner Cartridge 201A Yellow,,,,,HP Toner Cartridge 215A Black Total,,,16,8,,24
387,1-Jan-25,SALDO,IN,W2110A,Printer Cartridge,HP Toner Cartridge 206A Black,,Lemari Kaca,1,,Printer CartridgeHP Toner Cartridge 206A Black,,,,,HP Toner Cartridge 215A Cyan,Lemari Kaca,,5,4,,9
388,1-Jan-25,SALDO,IN,W2111A,Printer Cartridge,HP Toner Cartridge 206A Cyan,,Lemari Kaca,1,,Printer CartridgeHP Toner Cartridge 206A Cyan,,,,,,Rak F,,9,3,,12
389,1-Jan-25,SALDO,IN,W2113A,Printer Cartridge,HP Toner Cartridge 206A Magenta,,Lemari Kaca,1,,Printer CartridgeHP Toner Cartridge 206A Magenta,,,,,HP Toner Cartridge 215A Cyan Total,,,14,7,,21
390,1-Jan-25,SALDO,IN,W2112A,Printer Cartridge,HP Toner Cartridge 206A Yellow,,Lemari Kaca,1,,Printer CartridgeHP Toner Cartridge 206A Yellow,,,,,HP Toner Cartridge 215A Magenta,Lemari Kaca,,4,3,,7
391,1-Jan-25,SALDO,IN,W2110A,Printer Cartridge,HP Toner Cartridge 206A Black,,Rak F,3,,Printer CartridgeHP Toner Cartridge 206A Black,,,,,,Rak F,,8,3,,11
392,1-Jan-25,SALDO,IN,W2111A,Printer Cartridge,HP Toner Cartridge 206A Cyan,,Rak F,1,,Printer CartridgeHP Toner Cartridge 206A Cyan,,,,,HP Toner Cartridge 215A Magenta Total,,,12,6,,18
393,1-Jan-25,SALDO,IN,W2113A,Printer Cartridge,HP Toner Cartridge 206A Magenta,,Rak F,2,,Printer CartridgeHP Toner Cartridge 206A Magenta,,,,,HP Toner Cartridge 215A Yellow,Lemari Kaca,,4,3,,7
394,1-Jan-25,SALDO,IN,W2112A,Printer Cartridge,HP Toner Cartridge 206A Yellow,,Rak F,1,,Printer CartridgeHP Toner Cartridge 206A Yellow,,,,,,Rak F,,8,3,,11
395,1-Jan-25,SALDO,IN,W2310A,Printer Cartridge,HP Toner Cartridge 215A Black,,Lemari Kaca,1,,Printer CartridgeHP Toner Cartridge 215A Black,,,,,HP Toner Cartridge 215A Yellow Total,,,12,6,,18
396,1-Jan-25,SALDO,IN,W2311A,Printer Cartridge,HP Toner Cartridge 215A Cyan,,Lemari Kaca,1,,Printer CartridgeHP Toner Cartridge 215A Cyan,,,,,HP Toner Cartridge 76A Black,Lemari Kaca,,6,5,,11
397,1-Jan-25,SALDO,IN,W2313A,Printer Cartridge,HP Toner Cartridge 215A Magenta,,Lemari Kaca,1,,Printer CartridgeHP Toner Cartridge 215A Magenta,,,,,,Rak F,,4,3,,7
398,1-Jan-25,SALDO,IN,W2312A,Printer Cartridge,HP Toner Cartridge 215A Yellow,,Lemari Kaca,1,,Printer CartridgeHP Toner Cartridge 215A Yellow,,,,,HP Toner Cartridge 76A Black Total,,,10,8,,18
399,1-Jan-25,SALDO,IN,W2310A,Printer Cartridge,HP Toner Cartridge 215A Black,,Rak F,4,,Printer CartridgeHP Toner Cartridge 215A Black,,,,,HP Toner Cartridge 83A Black,Lemari Kaca,,3,2,,5
400,1-Jan-25,SALDO,IN,W2311A,Printer Cartridge,HP Toner Cartridge 215A Cyan,,Rak F,3,,Printer CartridgeHP Toner Cartridge 215A Cyan,,,,,,Rak F,,7,2,,9
401,1-Jan-25,SALDO,IN,W2313A,Printer Cartridge,HP Toner Cartridge 215A Magenta,,Rak F,3,,Printer CartridgeHP Toner Cartridge 215A Magenta,,,,,HP Toner Cartridge 83A Black Total,,,10,4,,14
402,1-Jan-25,SALDO,IN,W2312A,Printer Cartridge,HP Toner Cartridge 215A Yellow,,Rak F,3,,Printer CartridgeHP Toner Cartridge 215A Yellow,,,,,KYOCERA Toner Kit Black,Lemari Kaca,,1,1,,2
403,1-Jan-25,SALDO,IN,CF276A,Printer Cartridge,HP Toner Cartridge 76A Black,,Lemari Kaca,1,,Printer CartridgeHP Toner Cartridge 76A Black,,,,,,Rak F,,1,,,1
404,1-Jan-25,SALDO,IN,CF276A,Printer Cartridge,HP Toner Cartridge 76A Black,,Rak F,1,,Printer CartridgeHP Toner Cartridge 76A Black,,,,,KYOCERA Toner Kit Black Total,,,2,1,,3
405,1-Jan-25,SALDO,IN,CF283A,Printer Cartridge,HP Toner Cartridge 83A Black,,Rak F,4,,Printer CartridgeHP Toner Cartridge 83A Black,,,,Printer Cartridge Total,,,,145,61,,206
406,1-Jan-25,SALDO,IN,CF283A,Printer Cartridge,HP Toner Cartridge 83A Black,,Lemari Kaca,1,,Printer CartridgeHP Toner Cartridge 83A Black,,,,Printer Ink,CANON Pixma 70C Black,Rak F,,3,,,3
407,1-Jan-25,SALDO,IN,TK-5230K,Printer Cartridge,KYOCERA Toner Kit Black,,Lemari Kaca,1,,Printer CartridgeKYOCERA Toner Kit Black,,,,,CANON Pixma 70C Black Total,,,3,,,3
408,1-Jan-25,SALDO,IN,,Printer Ink,CANON Pixma 70C Cyan,,Rak F,5,,Printer InkCANON Pixma 70C Cyan,,,,,CANON Pixma 70C Cyan,Rak F,,5,,,5
409,1-Jan-25,SALDO,IN,,Printer Ink,CANON Pixma 70C Magenta,,Rak F,5,,Printer InkCANON Pixma 70C Magenta,,,,,CANON Pixma 70C Cyan Total,,,5,,,5
410,1-Jan-25,SALDO,IN,,Printer Ink,CANON Pixma 70C Yellow,,Rak F,4,,Printer InkCANON Pixma 70C Yellow,,,,,CANON Pixma 70C Magenta,Rak F,,5,,,5
411,1-Jan-25,SALDO,IN,,Printer Ink,CANON Pixma 70C Black,,Rak F,3,,Printer InkCANON Pixma 70C Black,,,,,CANON Pixma 70C Magenta Total,,,5,,,5
412,1-Jan-25,SALDO,IN,,Printer Ink,CANON Pixma 790 Cyan,,Rak F,2,,Printer InkCANON Pixma 790 Cyan,,,,,CANON Pixma 70C Yellow,Rak F,,4,,,4
413,1-Jan-25,SALDO,IN,,Printer Ink,CANON Pixma 790 Magenta,,Rak F,2,,Printer InkCANON Pixma 790 Magenta,,,,,CANON Pixma 70C Yellow Total,,,4,,,4
414,1-Jan-25,SALDO,IN,,Printer Ink,CANON Pixma 790 Yellow,,Rak F,2,,Printer InkCANON Pixma 790 Yellow,,,,,CANON Pixma 790 Cyan,Rak F,,2,,,2
415,1-Jan-25,SALDO,IN,,Printer Ink,EPSON Ink 003 Black,,Lemari Kaca,4,,Printer InkEPSON Ink 003 Black,,,,,CANON Pixma 790 Cyan Total,,,2,,,2
416,1-Jan-25,SALDO,IN,,Printer Ink,EPSON Ink 003 Cyan,,Lemari Kaca,1,,Printer InkEPSON Ink 003 Cyan,,,,,CANON Pixma 790 Magenta,Rak F,,2,,,2
417,1-Jan-25,SALDO,IN,,Printer Ink,EPSON Ink 003 Magenta,,Lemari Kaca,1,,Printer InkEPSON Ink 003 Magenta,,,,,CANON Pixma 790 Magenta Total,,,2,,,2
418,1-Jan-25,SALDO,IN,,Printer Ink,EPSON Ink 003 Yellow,,Lemari Kaca,1,,Printer InkEPSON Ink 003 Yellow,,,,,CANON Pixma 790 Yellow,Rak F,,2,,,2
419,1-Jan-25,SALDO,IN,,Printer Ink,EPSON Ink 003 Black,,Rak F,11,,Printer InkEPSON Ink 003 Black,,,,,CANON Pixma 790 Yellow Total,,,2,,,2
420,1-Jan-25,SALDO,IN,,Printer Ink,EPSON Ink 003 Cyan,,Rak F,3,,Printer InkEPSON Ink 003 Cyan,,,,,Epson Black ink 774,Lemari Kaca,,2,1,,3
421,1-Jan-25,SALDO,IN,,Printer Ink,EPSON Ink 003 Magenta,,Rak F,6,,Printer InkEPSON Ink 003 Magenta,,,,,,Rak F,,2,1,,3
